property,Tidal Active mean,Tidal Active sd,Tidal Active min,Tidal Active max,Active Delta mean,Active Delta sd,Active Delta min,Active Delta max,Mature Delta mean,Mature Delta sd,Mature Delta min,Mature Delta max,Moribund Delta mean,Moribund Delta sd,Moribund Delta min,Moribund Delta max
SOC (t C ha$^{-1}$),127.3,78.7,31.4,275.5,28.5,15.2,8.9,69.2,8.4,8.6,1.1,31.8,16.2,10.5,4.3,40.7
EC (dS m$^{-1}$),4.72,1.58,2.64,7.23,0.39,0.39,0.02,1.83,0.12,0.04,0.03,0.21,0.13,0.04,0.06,0.26
CEC (cmol$_c$ kg$^{-1}$),28.4,2.0,25.0,32.2,19.2,4.3,10.4,28.0,4.2,3.2,0.7,11.8,2.9,2.4,0.6,9.9
TN (\%),0.1,0.02,0.06,0.15,0.14,0.06,0.04,0.23,0.09,0.08,0.03,0.42,0.04,0.03,0.02,0.12
pH,8.43,0.26,7.89,8.86,7.82,0.52,7.01,8.81,8.32,0.38,7.49,8.93,8.23,0.25,7.69,8.84
BD (g cm$^{-3}$),1.43,0.11,1.24,1.59,1.45,0.07,1.32,1.61,1.62,0.12,1.32,1.81,1.59,0.09,1.4,1.77
Moisture (\%),37.8,4.2,31.8,47.9,30.0,5.6,18.8,42.3,27.5,6.9,21.3,55.7,27.6,5.3,11.0,37.0
Clay (\%),41.9,7.7,28.5,54.0,30.3,15.5,10.6,70.6,27.2,8.2,15.0,42.3,27.4,7.6,15.5,45.5
