,Amazon,Chao Phraya,Danube,Indus,Limpopo,Mackenzie,Mississippi,Niger,Parana-Plata,Pearl,Rhine-Meuse,Sacramento,Senegal,Yellow River,Ganges
Amazon,0.07687073691740309,-0.3648899365434308,-0.06983412989652882,-59.529718035139766,-0.03158553807430731,-0.49449686567088236,-0.10824938889752866,-0.35111173282615726,-0.014069211125524062,0.23469612796261652,-0.48184065760659456,-0.05255952446430845,-22.280583115473586,-482.43052146451276,-0.20319808905884895
Chao Phraya,-0.9419393772120643,-0.09912984952099224,-0.11877012738710269,-11.322512984332768,-0.10898209011197335,-0.42244843165490287,-0.08494611197299684,-0.43874816427504304,-0.8532164604949928,-0.08401132577979675,-0.45999370708611087,-0.002644548531880009,-2.716700720978311,-343.7538938887394,-0.4133693912645615
Danube,-88.19826885259882,-191.12654938228033,-0.8468308311732635,-15.115176564088724,-0.5856960017868555,0.6580539181914717,-0.17602676058202005,-10.706915800331295,-1.0206514601585335,-6.44471911227015,0.030713600346515157,-1.0751172587004807,-35.1193229492868,-603.578833105799,-1.5227951588430786
Indus,-0.04222141808248869,-0.11327525312517972,-0.1505622570450622,0.3389264110598815,-0.061409764356514795,-0.5317826604704661,-0.08595525183183161,-0.4054756419528087,-0.11630705266279917,-0.03827109854156907,-0.4838919984887071,-0.04387812322457041,-1.8645714471798058,-38.64033408970915,-0.32151592950745145
Limpopo,-306.99643829610324,-235.9893188151381,-2.180465684549258,-3293.6736173678905,0.15658045321025316,-10.536272183590832,-1.6689745063854957,-10.601106101624781,-5.0408582339513135,-172.2428540988974,-2.5647515869627036,-6.04478025847792,-542.7007258577762,-35009.31166363721,-3.0221096603464623
Mackenzie,-91.05776576206416,-200.68378647192128,0.7735316260545564,-70.66711171813712,-0.682331388053244,-0.06022712188420987,-0.22347676172048847,-11.702522870049453,-5.53859839063801,-7.312227717394771,0.006093691912182231,-1.4503342516315474,-33.88172802887081,-961.0455306899117,-2.276250455790547
Mississippi,-143.60953581303272,-95.39306684369343,-0.02327873297459404,-12.888772382191458,-0.49630019468827014,-3.244162725635305,-0.2577719995461183,-17.069873944482712,-2.9237149261684037,-5.252393059975662,-0.4928706390418154,-0.6261418363023474,-53.73219967461326,-583.0715802098564,-2.1450673062756485
Niger,-51.874714181594754,-27.483581104849378,-0.19486653524174158,-0.02629993033140665,0.19940308402373363,-1.1060440961452258,-0.12190210998087347,0.05793744327968542,-0.38412288345233225,-10.871351533484022,-0.20899761733096023,-0.06784383952687767,-12.070507089951473,-125.234252982495,-0.2664680366507275
Parana-Plata,-6.458801970788264,-1.9495799149196413,-0.09195704229266499,-6.298278446663168,0.012043018977260678,-0.44732657799531506,-0.07214305274729238,-0.46303782705650076,0.591693910834295,-1.5934052664176228,-0.27839696850026874,-0.10385234689453848,-36.96260870596593,-184.1388507501811,-0.29306722909606897
Pearl,-2.5420242378436875,-1.3998791616493604,-0.04202727500027792,-32.48492586175125,-0.043433263092776064,-0.0647321752776353,-0.09683437405621831,-0.5879691169346992,0.17582474069640863,-0.4379984867793978,-0.20914145033752152,0.08118859096753328,-14.97647667284791,-559.4238645870896,-0.036302558816423414
Rhine-Meuse,-279.05653133665237,-123.70050714959056,-0.572718625785265,-614.6903757064514,-0.2695285966679142,-6.214984003611809,-0.33849224538304745,-5.974719321855784,-51.8035726258262,-240.8895238616892,0.35307683838555204,-1.660762653228376,-150.99369507485628,-9133.601507716427,-7.542325258824439
Sacramento,-288.81827529076236,-53.53371832343564,0.0001835563564644982,-26.375021962239934,-0.014812609962110201,-0.41205485647357887,-2.1204121709588333,-9.954522658281867,-36.037585172078266,-70.21613571735713,-0.4956802830710054,0.3604137343522015,-267.62904343355746,-439.3769119433049,-0.3144442705909156
Senegal,-0.37030181875587975,-0.4793624930018885,-0.19812206034243873,-2.3970375982489323,-0.11242372749579888,-0.638813575099338,-0.12221620240768294,-0.6143173911751914,-0.36153281277122473,-0.19091382437900828,-0.5774502346748207,-0.05463868046793685,-0.3638963407458229,-1.4679282728824896,-0.11205119410352382
Yellow River,-0.7094209481490692,-0.8225402850200825,-0.24901050684446902,-0.3531250096453009,-0.11344768611786415,-0.7415351643404311,-0.13249681571019267,-0.6575626956980127,-1.0651128455001748,-0.8867081860891624,-0.6555811482772234,-0.13830597274026513,-0.09886964957962663,,-0.32138238376269146
Ganges,-3.335361140939586,-0.5855417536584333,-0.08346405901871568,-3.487982382263713,-0.016669709310559666,-0.40115766876076364,-0.01185486965513527,-0.24890915778378386,0.47281247075194666,-0.7147652256852985,-0.29281067014257545,-0.09130963451126073,-13.44031264869975,-98.41461194331688,0.042705650725378685
