model,soil9,soil9+eng,dR2_eng_on_soil,full78,full78+eng,dR2_eng_on_full
GBR,0.618,0.731,0.113,0.694,0.744,0.049
MLP,0.678,0.344,-0.334,-0.211,0.339,0.55
