Sample,Bulk Density,Moisture,Sand,Silt,Clay,pH,EC,OM,TN,CEC,Location,Depth,SOCC,SOCD ,SOC Stock ,Lat,Long,Latitude,Longitude
Kj-1,1.59,33.95,5.974,50.81,43.216,8.28,3.44,2.57738,0.1,29.96,Karamjal,20,1.495,0.0237705,47.541,22.42844444,89.59255556,22.42844444,89.59255556
Kj-2,1.52,38.49,4.968,52.958,42.074,8.48,3.12,4.092776,0.09,28.3,Karamjal,40,2.374,0.0360848,72.1696,22.42844444,89.59255556,22.42844444,89.59255556
Kj-3,1.39,36.36,3.953,55.064,40.983,8.51,2.7,6.640848,0.09,28.11,Karamjal,60,3.852,0.0535428,107.0856,22.42844444,89.59255556,22.42844444,89.59255556
Kj-4,1.39,39.76,5.773,52.831,41.396,8.5,2.98,12.881728,0.08,29.73,Karamjal,80,7.472,0.1038608,207.7216,22.42844444,89.59255556,22.42844444,89.59255556
Kj-5,1.46,40.12,5.419,56.061,38.52,8.58,2.64,16.26594,0.07,27.71,Karamjal,100,9.435,0.137751,275.502,22.42844444,89.59255556,22.42844444,89.59255556
H-1,1.52,32.82,6.4,55.421,38.179,8.33,3.79,2.394636,0.14,27.15,Harbaria,20,1.389,0.0211128,42.2256,22.29833333,89.61511111,22.29833333,89.61511111
H-2,1.48,32.67,8.429,55.17,36.401,8.2,3.48,3.570404,0.13,27.1,Harbaria,40,2.071,0.0306508,61.3016,22.29833333,89.61511111,22.29833333,89.61511111
H-3,1.4,34.92,3.888,61.223,34.889,8.51,3.19,6.45638,0.09,26.86,Harbaria,60,3.745,0.05243,104.86,22.29833333,89.61511111,22.29833333,89.61511111
H-4,1.49,37.57,3.902,65.71,30.388,8.39,3.38,12.650712,0.08,25.5,Harbaria,80,7.338,0.1093362,218.6724,22.29833333,89.61511111,22.29833333,89.61511111
H-5,1.37,38.02,3.936,60.939,35.125,8.45,3.27,15.734948,0.06,29.87,Harbaria,100,9.127,0.1250399,250.0798,22.29833333,89.61511111,22.29833333,89.61511111
Kt-1,1.58,38.1,5.665,43.26,51.075,7.95,6.42,2.208444,0.11,30.0,Katka,20,1.281,0.0202398,40.4796,21.85486111,89.77255556,21.85486111,89.77255556
Kt-2,1.44,37.48,3.271,48.749,47.98,8.01,6.52,3.739356,0.1,28.97,Katka,40,2.169,0.0312336,62.4672,21.85486111,89.77255556,21.85486111,89.77255556
Kt-3,1.58,47.9,4.524,54.346,41.13,8.61,6.11,5.892632,0.09,29.41,Katka,60,3.418,0.0540044,108.0088,21.85486111,89.77255556,21.85486111,89.77255556
Kt-4,1.24,44.91,3.929,50.017,46.054,8.48,5.81,12.974824,0.09,28.55,Katka,80,7.526,0.0933224,186.6448,21.85486111,89.77255556,21.85486111,89.77255556
Kt-5,1.26,46.3,3.183,54.314,42.503,8.75,5.97,15.37808,0.07,27.92,Katka,100,8.92,0.112392,224.784,21.85486111,89.77255556,21.85486111,89.77255556
Hi-1,1.55,32.82,11.417,50.365,38.218,7.89,7.23,1.746412,0.13,26.61,Hiron Point,20,1.013,0.0157015,31.403,21.80780556,89.45913889,21.80780556,89.45913889
Hi-2,1.49,38.92,12.685,47.667,39.648,8.65,6.92,3.268704,0.11,26.99,Hiron Point,40,1.896,0.0282504,56.5008,21.80780556,89.45913889,21.80780556,89.45913889
Hi-3,1.52,38.96,6.43,58.591,34.979,8.78,7.0,5.52542,0.09,25.48,Hiron Point,60,3.205,0.048716,97.432,21.80780556,89.45913889,21.80780556,89.45913889
Hi-4,1.51,36.07,6.396,61.86,31.744,8.86,6.45,11.857672,0.08,25.1,Hiron Point,80,6.878,0.1038578,207.7156,21.80780556,89.45913889,21.80780556,89.45913889
Hi-5,1.31,41.82,8.836,62.681,28.483,8.74,6.46,15.022936,0.07,25.0,Hiron Point,100,8.714,0.1141534,228.3068,21.80780556,89.45913889,21.80780556,89.45913889
Mu-1,1.41,31.82,5.94,40.11,53.95,8.1,4.78,2.155,0.15,32.17,Munshiganj,20,1.25,0.017625,35.25,22.07149673,89.5571774,22.07149673,89.5571774
Mu-2,1.38,33.67,4.39,41.79,53.82,8.29,4.38,4.94788,0.14,32.1,Munshiganj,40,2.87,0.039606,79.212,22.07149673,89.5571774,22.07149673,89.5571774
Mu-3,1.33,35.92,4.11,42.35,53.54,8.34,4.19,5.75816,0.1,30.39,Munshiganj,60,3.34,0.044422,88.844,22.07149673,89.5571774,22.07149673,89.5571774
Mu-4,1.31,36.59,3.8,43.12,53.08,8.49,4.1,9.63716,0.09,30.33,Munshiganj,80,5.59,0.073229,146.458,22.07149673,89.5571774,22.07149673,89.5571774
Mu-5,1.24,38.32,3.14,45.88,50.98,8.57,3.55,14.01612,0.09,29.81,Munshiganj,100,8.13,0.100812,201.624,22.07149673,89.5571774,22.07149673,89.5571774
