delta,lat,lon,depth_top_cm,depth_bot_cm,soc,ph,clay,silt,sand,source
Sacramento,38.2223930358886,-122.354110717773,10.0,28.0,6.7,6.0,18.8,53.0,28.2,WoSIS
Sacramento,38.2223930358886,-122.354110717773,28.0,41.0,4.8,6.1,20.3,53.3,26.4,WoSIS
Sacramento,38.2223930358886,-122.354110717773,41.0,69.0,4.3,6.5,39.8,42.2,18.0,WoSIS
Sacramento,38.2223930358886,-122.354110717773,69.0,91.0,2.8,6.6,31.4,38.3,30.3,WoSIS
Sacramento,38.2223930358886,-122.354110717773,91.0,114.0,0.4,6.45,26.4,46.3,27.3,WoSIS
Sacramento,38.2210044860839,-122.354667663574,0.0,13.0,31.8,6.2,25.7,62.3,12.0,WoSIS
Sacramento,38.2210044860839,-122.354667663574,13.0,36.0,11.7,5.9,20.1,54.8,25.1,WoSIS
Sacramento,38.2210044860839,-122.354667663574,36.0,53.0,8.0,6.0,21.0,56.9,22.1,WoSIS
Sacramento,38.2210044860839,-122.354667663574,53.0,104.0,5.0,5.35,37.7,48.2,14.1,WoSIS
Limpopo,-25.191111,33.441111,0.0,16.0,6.4,6.2,7.0,3.0,90.0,WoSIS
Limpopo,-25.191111,33.441111,16.0,30.0,2.3,6.4,7.0,2.0,91.0,WoSIS
Limpopo,-25.191111,33.441111,30.0,70.0,1.7,6.1,12.0,5.0,83.0,WoSIS
Limpopo,-25.191111,33.441111,70.0,107.0,1.7,5.5,18.0,6.0,76.0,WoSIS
Limpopo,-24.875833,33.456111,0.0,10.0,4.1,5.8,2.5,1.1,96.4,WoSIS
Limpopo,-24.875833,33.456111,10.0,44.0,2.3,5.4,2.5,0.9,96.6,WoSIS
Limpopo,-24.875833,33.456111,44.0,78.0,1.2,4.9,3.0,1.5,95.5,WoSIS
Limpopo,-24.875833,33.456111,78.0,127.0,0.6,5.0,1.8,1.1,97.1,WoSIS
Limpopo,-24.995278,33.494722,0.0,15.0,4.6,6.3,5.1,2.2,92.7,WoSIS
Limpopo,-24.995278,33.494722,15.0,50.0,1.7,6.1,6.4,2.6,91.0,WoSIS
Limpopo,-24.995278,33.494722,50.0,104.0,0.6,6.3,6.8,2.1,91.1,WoSIS
Limpopo,-24.859167,33.500278,0.0,19.0,0.6,4.7,9.2,0.0,90.8,WoSIS
Limpopo,-24.859167,33.500278,19.0,46.0,1.2,5.6,7.5,0.8,91.7,WoSIS
Limpopo,-24.859167,33.500278,46.0,80.0,0.6,6.1,5.5,0.5,94.0,WoSIS
Limpopo,-24.859167,33.500278,80.0,96.0,1.2,5.9,4.5,1.5,94.0,WoSIS
Limpopo,-24.859167,33.500278,96.0,132.0,1.7,6.1,5.0,0.6,94.4,WoSIS
Niger,5.060833,5.8475,0.0,3.0,3.0,5.6,18.2,52.6,29.2,WoSIS
Niger,5.060833,5.8475,3.0,13.0,6.0,5.4,16.4,59.8,23.7,WoSIS
Niger,5.060833,5.8475,13.0,25.0,6.1,5.3,27.1,56.3,16.6,WoSIS
Niger,5.060833,5.8475,25.0,41.0,24.2,5.0,50.7,44.8,4.6,WoSIS
Niger,5.060833,5.8475,82.0,140.0,1.6,6.3,12.3,30.3,57.3,WoSIS
Limpopo,-25.16,33.363,0.0,9.0,7.5,5.6,3.0,2.0,95.0,WoSIS
Limpopo,-25.16,33.363,9.0,48.0,3.5,5.4,2.0,3.0,96.0,WoSIS
Limpopo,-25.16,33.363,48.0,88.0,3.5,5.3,3.0,4.0,93.0,WoSIS
Limpopo,-25.16,33.363,88.0,117.0,1.2,5.2,4.0,1.0,95.0,WoSIS
Limpopo,-24.91361,33.6775,0.0,33.0,29.0,7.1,73.0,21.0,6.0,WoSIS
Limpopo,-24.91361,33.6775,33.0,45.0,18.0,7.7,85.0,14.0,1.0,WoSIS
Limpopo,-24.91361,33.6775,45.0,100.0,8.7,7.5,83.0,16.0,1.0,WoSIS
Limpopo,-25.10833,33.72917,0.0,25.0,3.0,6.8,1.0,2.0,97.0,WoSIS
Limpopo,-25.10833,33.72917,25.0,75.0,1.0,7.0,1.0,4.0,95.0,WoSIS
Sacramento,37.6502762,-121.6961136,0.0,20.0,10.7,6.25,16.0,53.2,30.8,WoSIS
Sacramento,37.6502762,-121.6961136,20.0,28.0,5.4,6.3,16.4,53.4,30.2,WoSIS
Sacramento,37.6502762,-121.6961136,28.0,51.0,5.6,6.7,53.0,29.9,17.1,WoSIS
Sacramento,37.6502762,-121.6961136,51.0,74.0,3.4,7.95,42.7,34.4,22.9,WoSIS
Sacramento,37.6502762,-121.6961136,74.0,99.0,0.4,8.45,26.9,34.9,38.2,WoSIS
Sacramento,37.6502762,-121.6961136,99.0,137.0,0.3,8.45,23.4,29.7,46.9,WoSIS
Sacramento,38.0297203,-121.6308365,10.0,25.0,27.9,8.3,17.8,8.9,73.3,WoSIS
Sacramento,38.0297203,-121.6308365,25.0,61.0,4.0,8.6,14.5,5.7,79.8,WoSIS
Sacramento,38.0297203,-121.6308365,61.0,97.0,2.2,8.75,10.8,16.6,72.6,WoSIS
Sacramento,38.0297203,-121.6308365,97.0,102.0,0.8,8.75,5.9,3.7,90.4,WoSIS
Sacramento,37.9299048999999,-121.693252599999,0.0,16.0,14.0,7.633333,32.3,43.2,24.5,WoSIS
Sacramento,37.9299048999999,-121.693252599999,16.0,46.0,7.3,7.5,35.6,34.5,29.9,WoSIS
Sacramento,37.9299048999999,-121.693252599999,46.0,97.0,4.5,7.5333333,33.3,44.5,22.2,WoSIS
Sacramento,37.9299048999999,-121.693252599999,97.0,127.0,2.9,7.5333333,25.7,43.6,30.7,WoSIS
Mississippi,30.2727776,-90.7780532999999,10.0,80.0,33.4,4.7,66.5,33.0,0.5,WoSIS
Mississippi,30.2727776,-90.7780532999999,80.0,120.0,10.6,4.8,45.5,54.2,0.3,WoSIS
Mississippi,30.1039715,-90.9355010999999,0.0,14.0,16.2,6.5,67.6,31.2,1.2,WoSIS
