delta,lat,lon,depth_top_cm,depth_bot_cm,soc,ph,clay,silt,sand,source
Amazon,0.2167,-50.9167,10.0,50.0,2.0,5.4,29.0,69.0,2.0,WoSIS
Amazon,0.3667,-51.0833,25.0,80.0,2.3,4.9,38.0,12.0,50.0,WoSIS
Amazon,0.3667,-51.0833,0.0,10.0,9.6,5.7,27.0,12.0,61.0,WoSIS
Amazon,0.3667,-51.0833,10.0,25.0,6.8,5.0,30.0,10.0,60.0,WoSIS
Amazon,0.3667,-51.0833,80.0,120.0,2.2,5.3,50.0,6.0,44.0,WoSIS
Mackenzie,68.36666666666666,-133.7,3.0,5.0,12.2,5.0,14.0,34.0,52.0,WoSIS
Mackenzie,68.36666666666666,-133.7,5.0,6.0,8.1,5.2,14.0,13.0,74.0,WoSIS
Mackenzie,68.36666666666666,-133.7,6.0,8.0,10.4,5.4,12.0,14.0,74.0,WoSIS
Mackenzie,68.36666666666666,-133.7,8.0,20.0,13.9,6.7,13.0,25.0,62.0,WoSIS
Mackenzie,68.36666666666666,-133.7,20.0,30.0,10.4,7.5,12.0,20.0,68.0,WoSIS
Limpopo,-25.156111,33.362222,0.0,8.0,9.8,5.6,1.7,1.3,97.0,WoSIS
Limpopo,-25.156111,33.362222,8.0,30.0,4.6,5.1,1.9,3.2,94.9,WoSIS
Limpopo,-25.156111,33.362222,30.0,59.0,1.7,5.2,1.0,2.5,96.5,WoSIS
Limpopo,-25.156111,33.362222,59.0,95.0,1.7,5.2,1.3,3.3,95.4,WoSIS
Limpopo,-25.156111,33.362222,95.0,155.0,1.7,5.2,2.3,2.7,95.0,WoSIS
Limpopo,-25.085556,33.468056,0.0,30.0,289.0,4.9,4.7,26.1,69.2,WoSIS
Limpopo,-25.085556,33.468056,30.0,64.0,387.3,4.2,1.0,17.9,81.1,WoSIS
Limpopo,-25.085556,33.468056,64.0,94.0,391.3,4.1,4.2,16.6,79.2,WoSIS
Niger,5.038611,5.840556,0.0,8.0,91.0,4.6,85.1,9.8,5.1,WoSIS
Niger,5.038611,5.840556,8.0,29.0,111.0,4.5,73.4,23.0,3.6,WoSIS
Niger,5.038611,5.840556,29.0,45.0,49.6,5.0,87.5,12.0,0.4,WoSIS
Niger,5.057222,5.853611,0.0,10.0,64.8,4.6,79.7,18.3,2.0,WoSIS
Niger,5.057222,5.853611,10.0,35.0,24.6,5.1,88.1,11.5,0.4,WoSIS
Niger,5.057222,5.853611,35.0,130.0,8.4,5.3,86.6,13.2,0.2,WoSIS
Niger,5.039722,5.877222,0.0,5.0,30.3,4.9,81.4,18.2,0.5,WoSIS
Niger,5.039722,5.877222,5.0,24.0,14.2,5.1,52.7,45.7,1.6,WoSIS
Niger,5.039722,5.877222,24.0,50.0,6.8,5.4,41.5,57.8,0.6,WoSIS
Chao Phraya,13.313333333333333,101.12305555555557,0.0,20.0,5.3,5.2,5.0,14.0,82.0,WoSIS
Chao Phraya,13.313333333333333,101.12305555555557,20.0,42.0,1.8,6.0,2.0,16.0,83.0,WoSIS
Chao Phraya,13.313333333333333,101.12305555555557,42.0,95.0,1.0,6.5,2.0,12.0,86.0,WoSIS
Chao Phraya,13.313333333333333,101.12305555555557,95.0,130.0,9.8,6.4,2.0,90.0,8.0,WoSIS
Chao Phraya,13.854444444444445,100.02805555555555,0.0,30.0,32.2,7.1,18.0,40.0,42.0,WoSIS
Chao Phraya,13.854444444444445,100.02805555555555,30.0,65.0,20.2,6.3,28.0,50.0,22.0,WoSIS
Chao Phraya,13.854444444444445,100.02805555555555,65.0,90.0,14.2,7.5,16.0,56.0,28.0,WoSIS
Chao Phraya,13.854444444444445,100.02805555555555,90.0,130.0,8.2,8.4,12.0,28.0,60.0,WoSIS
Mississippi,30.3780556,-91.0447235,0.0,15.0,9.6,6.4,10.8,85.1,4.1,WoSIS
Mississippi,30.3780556,-91.0447235,15.0,30.0,2.2,6.2,9.8,86.8,3.4,WoSIS
Mississippi,30.3780556,-91.0447235,30.0,53.0,1.4,4.6,17.3,80.2,2.5,WoSIS
Mississippi,30.3780556,-91.0447235,53.0,86.0,1.4,4.4,30.2,67.7,2.1,WoSIS
Mississippi,30.3780556,-91.0447235,86.0,119.0,1.1,4.6,25.1,73.0,1.9,WoSIS
Sacramento,38.2444458,-122.0013885,0.0,13.0,13.5,6.0,15.4,45.4,39.2,WoSIS
Sacramento,38.2444458,-122.0013885,13.0,36.0,5.4,6.3,17.1,43.1,39.8,WoSIS
Sacramento,38.2444458,-122.0013885,36.0,48.0,2.8,6.65,15.7,42.5,41.8,WoSIS
Sacramento,38.2444458,-122.0013885,48.0,86.0,2.8,6.65,40.3,39.5,20.2,WoSIS
Sacramento,38.2444458,-122.0013885,86.0,94.0,1.0,7.95,36.2,44.7,19.1,WoSIS
Sacramento,38.2444458,-122.0013885,94.0,117.0,0.9,8.5,32.9,47.5,19.6,WoSIS
Mississippi,29.9186115,-90.6233368,23.0,53.0,267.0,6.3,82.6,17.2,0.2,WoSIS
Mississippi,29.9186115,-90.6233368,53.0,84.0,293.0,5.7,87.5,12.2,0.3,WoSIS
Mississippi,30.4896716999999,-88.5244826999999,0.0,5.0,48.3,4.3,17.9,63.4,18.7,WoSIS
Mississippi,30.4896716999999,-88.5244826999999,5.0,15.0,25.4,4.2,20.0,58.9,21.1,WoSIS
Mississippi,30.4896716999999,-88.5244826999999,15.0,30.0,7.2,4.5,46.9,46.4,6.7,WoSIS
Mississippi,30.4896716999999,-88.5244826999999,30.0,183.0,3.1,4.1,54.5,40.3,5.2,WoSIS
Sacramento,38.2207374999999,-121.305190999999,0.0,15.0,8.4,6.3,13.4,56.3,30.3,WoSIS
Sacramento,38.2207374999999,-121.305190999999,15.0,25.0,5.7,5.75,13.1,56.0,30.9,WoSIS
Sacramento,38.2207374999999,-121.305190999999,25.0,41.0,2.9,5.85,15.8,52.3,31.9,WoSIS
Sacramento,38.2207374999999,-121.305190999999,41.0,53.0,2.1,6.05,37.8,33.8,28.4,WoSIS
Sacramento,38.2207374999999,-121.305190999999,53.0,66.0,1.9,6.35,36.7,31.6,31.7,WoSIS
Sacramento,38.2207374999999,-121.305190999999,66.0,74.0,0.6,7.5,11.3,42.4,46.3,WoSIS
Sacramento,38.2207374999999,-121.305190999999,74.0,122.0,0.5,7.75,16.3,37.3,46.4,WoSIS
Parana-Plata,-33.7905273,-58.0515823,0.0,6.0,35.7,5.5,24.4,47.5,28.1,WoSIS
Parana-Plata,-33.7905273,-58.0515823,6.0,26.0,20.3,6.1,26.9,47.3,25.8,WoSIS
Parana-Plata,-33.7905273,-58.0515823,26.0,45.0,10.2,6.8,48.8,33.3,17.9,WoSIS
Parana-Plata,-33.7905273,-58.0515823,45.0,72.0,7.6,7.2,47.5,33.7,18.8,WoSIS
Parana-Plata,-33.7905273,-58.0515823,72.0,94.0,3.2,7.2,42.0,40.4,17.6,WoSIS
Parana-Plata,-33.7905273,-58.0515823,94.0,128.0,1.3,7.5,39.3,45.4,15.3,WoSIS
Parana-Plata,-33.7905273,-58.0515823,87.0,113.0,1.8,7.7,41.1,44.8,14.1,WoSIS
Limpopo,-25.090556,33.350278,0.0,18.0,18.5,5.4,3.8,4.8,91.4,WoSIS
Limpopo,-25.090556,33.350278,18.0,43.0,91.3,4.5,8.0,10.0,82.0,WoSIS
Limpopo,-25.090556,33.350278,43.0,67.0,255.5,4.6,1.2,6.5,92.3,WoSIS
Limpopo,-25.090556,33.350278,67.0,143.0,282.7,4.8,2.1,5.0,92.9,WoSIS
Limpopo,-25.161944,33.361944,0.0,8.0,5.2,5.6,3.0,1.7,95.3,WoSIS
Limpopo,-25.161944,33.361944,8.0,18.0,3.5,5.6,1.7,3.2,95.1,WoSIS
Limpopo,-25.161944,33.361944,18.0,44.0,3.5,5.7,0.7,3.4,95.9,WoSIS
Limpopo,-25.161944,33.361944,44.0,75.0,2.3,5.7,3.0,1.7,95.3,WoSIS
Limpopo,-25.161944,33.361944,75.0,160.0,0.6,5.2,2.5,2.5,95.0,WoSIS
Limpopo,-25.192778,33.441667,0.0,27.0,8.1,5.8,6.0,3.0,91.0,WoSIS
Limpopo,-25.192778,33.441667,27.0,50.0,2.9,5.9,7.0,1.0,92.0,WoSIS
Limpopo,-25.192778,33.441667,50.0,79.0,1.2,6.0,7.0,1.0,91.0,WoSIS
Limpopo,-25.192778,33.441667,79.0,109.0,0.6,6.0,9.0,2.0,90.0,WoSIS
Limpopo,-25.185833,33.47,0.0,15.0,3.5,6.2,4.4,1.0,94.6,WoSIS
Limpopo,-25.185833,33.47,15.0,67.0,1.2,6.4,2.2,1.8,96.0,WoSIS
Limpopo,-25.185833,33.47,67.0,112.0,1.2,5.0,3.9,0.6,95.5,WoSIS
Limpopo,-24.924167,33.771667,0.0,14.0,5.2,5.3,1.2,9.2,89.6,WoSIS
Limpopo,-24.924167,33.771667,14.0,34.0,3.5,5.1,4.4,7.9,87.7,WoSIS
Limpopo,-24.924167,33.771667,34.0,64.0,1.7,5.0,6.0,8.0,86.0,WoSIS
Limpopo,-24.924167,33.771667,64.0,102.0,1.7,4.8,8.7,6.8,84.5,WoSIS
Niger,5.038056,5.881389,0.0,3.0,15.4,4.7,11.5,50.4,38.1,WoSIS
Niger,5.038056,5.881389,3.0,26.0,6.7,5.1,18.3,52.5,29.3,WoSIS
Niger,5.038056,5.881389,26.0,37.0,3.9,5.4,20.6,46.8,32.6,WoSIS
Niger,5.038056,5.881389,37.0,55.0,3.4,5.5,20.1,41.7,38.2,WoSIS
Niger,5.038056,5.881389,55.0,75.0,3.6,5.4,23.5,50.2,26.3,WoSIS
Niger,5.038056,5.881389,75.0,140.0,2.5,5.7,14.1,34.3,51.9,WoSIS
Indus,24.9833336,67.0999984999999,0.0,7.0,2.2,8.3,7.9,26.1,66.0,WoSIS
Indus,24.9833336,67.0999984999999,7.0,23.0,1.9,8.0,10.6,26.8,62.6,WoSIS
Indus,24.9833336,67.0999984999999,23.0,53.0,1.5,8.5,9.8,22.4,67.8,WoSIS
Indus,24.9833336,67.0999984999999,53.0,80.0,0.9,8.7,7.7,17.8,74.5,WoSIS
Indus,24.9833336,67.0999984999999,80.0,113.0,0.8,8.05,9.7,47.4,42.9,WoSIS
Senegal,16.203889,-16.403333,0.0,49.0,4.1,7.4,7.0,4.0,89.0,WoSIS
Senegal,16.203889,-16.403333,49.0,88.0,1.2,7.8,6.0,1.0,93.0,WoSIS
Senegal,16.203889,-16.403333,88.0,126.0,0.5,8.2,6.0,1.0,93.0,WoSIS
Chao Phraya,13.75,100.61666666666666,0.0,17.0,18.6,4.8,61.0,33.0,6.0,WoSIS
Chao Phraya,13.75,100.61666666666666,17.0,34.0,13.3,4.4,66.0,32.0,2.0,WoSIS
Chao Phraya,13.75,100.61666666666666,34.0,57.0,7.2,4.2,60.0,37.0,3.0,WoSIS
Indus,24.9833336,67.0999984999999,8.0,23.0,1.9,8.0,11.0,27.0,62.0,WoSIS
Indus,24.9833336,67.0999984999999,81.0,114.0,0.8,8.3,10.0,47.0,43.0,WoSIS
Senegal,16.203889,-16.403333,0.0,49.0,2.6,7.4,7.0,4.0,89.0,WoSIS
Senegal,16.203889,-16.403333,49.0,88.0,0.6,8.2,6.0,1.0,93.0,WoSIS
Senegal,16.203889,-16.403333,88.0,126.0,0.4,7.9,6.0,1.0,93.0,WoSIS
Sacramento,37.644165,-121.968612699999,0.0,18.0,14.3,6.3,22.8,65.9,11.3,WoSIS
Sacramento,37.644165,-121.968612699999,18.0,36.0,6.4,6.15,26.9,63.1,10.0,WoSIS
Sacramento,37.644165,-121.968612699999,36.0,56.0,5.3,6.15,26.9,63.3,9.8,WoSIS
Sacramento,37.7491684,-121.8177795,0.0,18.0,21.6,6.4,38.9,42.7,18.4,WoSIS
Sacramento,37.7491684,-121.8177795,18.0,43.0,10.4,6.9,39.9,42.1,18.0,WoSIS
Sacramento,37.7491684,-121.8177795,43.0,71.0,7.4,7.6,40.1,48.5,11.4,WoSIS
Sacramento,37.7491684,-121.8177795,71.0,94.0,5.4,7.7,38.6,48.8,12.6,WoSIS
Sacramento,37.7491684,-121.8177795,94.0,122.0,3.7,7.8,24.6,50.7,24.7,WoSIS
Sacramento,38.218505859375,-122.356613159179,0.0,18.0,30.1,5.2,17.5,38.8,43.7,WoSIS
Sacramento,38.218505859375,-122.356613159179,18.0,43.0,10.6,5.9,19.0,39.3,41.7,WoSIS
Sacramento,38.218505859375,-122.356613159179,43.0,66.0,2.6,6.1,16.2,38.7,45.1,WoSIS
Sacramento,38.218505859375,-122.356613159179,66.0,89.0,0.8,5.6,17.5,40.2,42.3,WoSIS
Sacramento,38.218505859375,-122.356613159179,89.0,132.0,0.9,5.0,29.3,30.9,39.8,WoSIS
Mackenzie,68.71666666666667,-134.06666666666666,2.0,3.0,95.7,5.5,43.0,42.0,15.0,WoSIS
Mackenzie,68.71666666666667,-134.06666666666666,3.0,9.0,28.6,5.3,39.0,40.0,21.0,WoSIS
Mackenzie,68.71666666666667,-134.06666666666666,9.0,16.0,30.2,6.0,43.0,39.0,18.0,WoSIS
Mackenzie,68.71666666666667,-134.06666666666666,16.0,23.0,61.5,5.8,49.0,33.0,19.0,WoSIS
Mackenzie,68.71666666666667,-134.06666666666666,23.0,27.0,46.9,6.0,46.0,36.0,18.0,WoSIS
Mackenzie,68.38333333333334,-133.73333333333332,0.0,20.0,20.0,4.3,48.0,49.0,3.0,WoSIS
Mackenzie,68.38333333333334,-133.73333333333332,20.0,70.0,12.0,4.2,53.0,45.0,2.0,WoSIS
Mackenzie,68.38333333333334,-133.73333333333332,70.0,130.0,23.0,4.2,50.0,47.0,3.0,WoSIS
Limpopo,-24.824444,33.463056,0.0,21.0,2.9,6.3,8.0,5.0,87.0,WoSIS
Limpopo,-24.824444,33.463056,21.0,37.0,2.3,6.5,8.0,5.0,87.0,WoSIS
Limpopo,-24.824444,33.463056,37.0,73.0,9.9,6.8,43.0,30.0,27.0,WoSIS
Limpopo,-24.824444,33.463056,73.0,117.0,12.8,6.9,48.0,31.0,20.0,WoSIS
Chao Phraya,13.7333336,100.083335899999,0.0,10.0,13.7,5.8,51.6,46.1,2.3,WoSIS
Chao Phraya,13.7333336,100.083335899999,10.0,28.0,9.9,6.7,54.4,43.4,2.2,WoSIS
Chao Phraya,13.7333336,100.083335899999,28.0,46.0,8.3,7.2,57.5,40.8,1.7,WoSIS
Chao Phraya,13.7333336,100.083335899999,46.0,74.0,7.5,7.15,60.0,38.0,2.0,WoSIS
Chao Phraya,13.7333336,100.083335899999,74.0,116.0,3.9,7.1,51.9,42.8,5.3,WoSIS
Senegal,15.64472,-15.99233,6.0,17.0,1.8,7.7,6.0,4.0,90.0,WoSIS
Senegal,15.64472,-15.99233,17.0,59.0,1.4,7.5,7.0,4.0,88.0,WoSIS
Senegal,15.64472,-15.99233,59.0,90.0,1.2,7.7,8.0,4.0,88.0,WoSIS
Pearl,23.058333333333337,113.19166666666666,0.0,10.0,26.5,5.6,36.8,53.5,9.7,WoSIS
Pearl,23.058333333333337,113.19166666666666,10.0,25.0,17.1,6.5,20.3,28.9,50.9,WoSIS
Pearl,23.058333333333337,113.19166666666666,25.0,45.0,12.1,6.3,36.7,55.6,7.8,WoSIS
Pearl,23.058333333333337,113.19166666666666,45.0,68.0,22.0,3.1,25.0,52.2,22.8,WoSIS
Mississippi,30.3786105999999,-91.0913924999999,0.0,15.0,6.6,5.0,9.3,86.8,3.9,WoSIS
Mississippi,30.3786105999999,-91.0913924999999,15.0,33.0,1.8,5.0,16.8,80.5,2.7,WoSIS
Mississippi,30.3786105999999,-91.0913924999999,33.0,56.0,1.6,4.8,31.9,64.6,3.5,WoSIS
Mississippi,30.3786105999999,-91.0913924999999,56.0,81.0,1.0,5.1,28.6,67.6,3.8,WoSIS
Mississippi,30.3786105999999,-91.0913924999999,81.0,112.0,0.9,5.5,23.7,73.0,3.3,WoSIS
Sacramento,37.6555557,-121.7491684,0.0,15.0,17.9,6.55,12.1,38.9,49.0,WoSIS
Sacramento,37.6555557,-121.7491684,15.0,43.0,8.5,6.65,15.6,36.8,47.6,WoSIS
Sacramento,37.6555557,-121.7491684,43.0,79.0,5.0,7.0,15.4,37.4,47.2,WoSIS
Sacramento,37.6555557,-121.7491684,79.0,109.0,4.6,7.3,17.9,39.1,43.0,WoSIS
Sacramento,37.6699982,-121.7491684,0.0,13.0,8.8,8.25,12.9,38.9,48.2,WoSIS
Sacramento,37.6699982,-121.7491684,13.0,33.0,8.0,7.7,14.6,37.3,48.1,WoSIS
Sacramento,37.6699982,-121.7491684,33.0,58.0,6.7,7.25,17.9,30.2,51.9,WoSIS
Sacramento,37.6699982,-121.7491684,58.0,76.0,3.2,7.3,13.9,15.7,70.4,WoSIS
Sacramento,37.6699982,-121.7491684,76.0,97.0,2.1,7.2,8.5,8.7,82.8,WoSIS
Sacramento,37.6699982,-121.7491684,97.0,152.0,1.2,7.15,6.9,7.4,85.7,WoSIS
Mississippi,29.9027786,-90.6138916,76.0,152.0,285.0,5.3,53.1,43.0,3.9,WoSIS
Sacramento,38.1172218,-121.231941199999,0.0,5.0,13.15,6.5,6.8,25.25,67.95,WoSIS
Sacramento,38.1172218,-121.231941199999,5.0,10.0,15.95,6.25,7.25,24.5,68.25,WoSIS
Sacramento,38.1172218,-121.231941199999,10.0,30.0,8.2,6.8,7.2,24.95,67.85,WoSIS
Sacramento,38.1172218,-121.231941199999,30.0,48.0,3.1,6.4,7.9,28.1,64.0,WoSIS
Sacramento,38.1172218,-121.231941199999,48.0,77.0,2.8,6.5,7.5,28.3,64.2,WoSIS
Sacramento,38.1172218,-121.231941199999,77.0,111.0,2.2,6.7,7.3,28.0,64.7,WoSIS
Sacramento,38.209446,-121.286392199999,0.0,20.0,6.0,5.8,18.4,48.7,32.9,WoSIS
Sacramento,38.209446,-121.286392199999,20.0,63.0,5.6,5.5,18.9,48.2,32.9,WoSIS
Sacramento,38.209446,-121.286392199999,63.0,116.0,6.2,5.3,15.3,47.0,37.7,WoSIS
Mississippi,29.8453197,-91.6541672,0.0,20.0,11.2,5.5,17.1,76.3,6.6,WoSIS
Mississippi,29.8453197,-91.6541672,20.0,44.0,5.5,5.7,32.7,64.2,3.1,WoSIS
Mississippi,29.8453197,-91.6541672,44.0,65.0,2.8,6.3,23.4,72.1,4.5,WoSIS
Mississippi,29.8453197,-91.6541672,65.0,90.0,1.6,6.6,15.5,73.8,10.7,WoSIS
Mississippi,29.8453197,-91.6541672,90.0,114.0,0.9,6.9,15.6,77.9,6.5,WoSIS
Limpopo,-24.903611,33.686667,0.0,10.0,35.8,5.6,78.6,11.4,10.0,WoSIS
Limpopo,-24.903611,33.686667,10.0,30.0,13.3,5.4,90.1,7.1,2.8,WoSIS
Limpopo,-24.903611,33.686667,30.0,77.0,5.8,5.4,81.1,15.8,3.1,WoSIS
Limpopo,-24.973611,33.745278,0.0,12.0,3.5,5.3,2.4,6.8,90.8,WoSIS
Limpopo,-24.973611,33.745278,12.0,31.0,3.5,5.3,1.6,8.6,89.8,WoSIS
Limpopo,-24.973611,33.745278,31.0,63.0,1.7,5.0,2.4,6.9,90.7,WoSIS
Limpopo,-24.973611,33.745278,63.0,104.0,0.6,4.9,1.0,6.2,92.8,WoSIS
Limpopo,-24.84278,33.47139,0.0,20.0,2.3,5.6,3.0,1.0,97.0,WoSIS
Limpopo,-24.84278,33.47139,20.0,48.0,1.7,5.5,4.0,1.0,95.0,WoSIS
Limpopo,-24.84278,33.47139,48.0,65.0,1.7,5.3,6.0,1.0,93.0,WoSIS
Limpopo,-24.84278,33.47139,65.0,97.0,2.3,5.7,25.0,1.0,74.0,WoSIS
Limpopo,-24.84278,33.47139,97.0,140.0,2.3,5.6,13.0,1.0,86.0,WoSIS
Limpopo,-24.80528,33.51861,0.0,20.0,12.2,6.9,23.0,33.0,45.0,WoSIS
Limpopo,-24.80528,33.51861,20.0,45.0,6.4,6.9,25.0,31.0,44.0,WoSIS
Limpopo,-24.80528,33.51861,45.0,68.0,2.9,7.1,19.0,19.0,62.0,WoSIS
Limpopo,-24.80528,33.51861,68.0,90.0,2.9,7.3,21.0,22.0,57.0,WoSIS
Limpopo,-24.80528,33.51861,90.0,115.0,2.9,7.4,20.0,23.0,57.0,WoSIS
Chao Phraya,13.35,101.08333333333331,0.0,22.0,13.6,7.8,15.8,25.6,58.6,WoSIS
Chao Phraya,13.35,101.08333333333331,22.0,39.0,5.9,7.8,16.6,26.2,57.2,WoSIS
Chao Phraya,13.35,101.08333333333331,39.0,85.0,1.5,7.7,22.7,23.5,53.8,WoSIS
Pearl,23.097536087036133,113.11810302734376,0.0,17.0,20.1,7.1,14.0,22.0,64.0,WoSIS
Pearl,23.097536087036133,113.11810302734376,17.0,28.0,14.1,7.5,27.0,25.0,48.0,WoSIS
Pearl,23.097536087036133,113.11810302734376,28.0,75.0,5.5,7.2,35.0,21.0,44.0,WoSIS
Pearl,23.097536087036133,113.11810302734376,75.0,100.0,7.0,7.1,16.0,14.0,70.0,WoSIS
Chao Phraya,13.666666666666666,100.91666666666669,0.0,10.0,7.8,6.5,64.0,28.0,8.0,WoSIS
Chao Phraya,13.666666666666666,100.91666666666669,10.0,27.0,4.6,6.2,65.0,26.0,9.0,WoSIS
Chao Phraya,13.091111111111111,100.88722222222222,0.0,20.0,8.0,5.9,2.0,16.0,82.0,WoSIS
Chao Phraya,13.091111111111111,100.88722222222222,20.0,45.0,8.0,5.1,1.0,25.0,74.0,WoSIS
Chao Phraya,13.091111111111111,100.88722222222222,45.0,150.0,8.0,5.5,1.0,18.0,81.0,WoSIS
Limpopo,-24.84278,33.47139,0.0,20.0,2.0,5.6,3.0,1.0,96.0,WoSIS
Limpopo,-24.84278,33.47139,20.0,48.0,2.0,5.5,4.0,1.0,95.0,WoSIS
Limpopo,-24.84278,33.47139,48.0,65.0,2.0,5.3,6.0,1.0,93.0,WoSIS
Limpopo,-24.84278,33.47139,65.0,97.0,2.0,5.7,25.0,1.0,74.0,WoSIS
Limpopo,-24.84278,33.47139,97.0,140.0,2.0,5.6,13.0,1.0,86.0,WoSIS
Limpopo,-24.80528,33.51861,0.0,20.0,12.0,6.9,23.0,33.0,44.0,WoSIS
Limpopo,-24.80528,33.51861,20.0,45.0,6.0,6.9,25.0,31.0,44.0,WoSIS
Limpopo,-24.80528,33.51861,45.0,68.0,3.0,7.1,19.0,19.0,62.0,WoSIS
Limpopo,-24.80528,33.51861,68.0,90.0,3.0,7.3,21.0,22.0,57.0,WoSIS
Limpopo,-24.80528,33.51861,90.0,115.0,3.0,7.4,20.0,23.0,57.0,WoSIS
Sacramento,38.4291649,-121.8877792,0.0,18.0,6.9,6.5,10.4,33.8,55.8,WoSIS
Sacramento,38.4291649,-121.8877792,18.0,36.0,3.6,6.0,11.5,32.4,56.1,WoSIS
Sacramento,38.4291649,-121.8877792,36.0,71.0,3.2,6.9,37.2,24.2,38.6,WoSIS
Sacramento,38.4291649,-121.8877792,71.0,100.0,1.4,7.35,30.6,22.3,47.1,WoSIS
Sacramento,37.7486115,-121.7088852,0.0,18.0,8.4,6.4,50.4,30.7,18.9,WoSIS
Sacramento,37.7486115,-121.7088852,18.0,46.0,6.8,6.9,50.6,30.8,18.6,WoSIS
Sacramento,37.7486115,-121.7088852,46.0,66.0,4.7,8.0,47.7,31.5,20.8,WoSIS
Sacramento,37.7486115,-121.7088852,66.0,94.0,3.1,8.0,42.0,37.7,20.3,WoSIS
Sacramento,37.7486115,-121.7088852,94.0,119.0,1.8,8.0,41.8,34.9,23.3,WoSIS
Rhine-Meuse,52.242761944444446,4.525038055555555,0.0,55.0,6.6,7.1,1.0,2.9,96.1,WoSIS
Rhine-Meuse,52.242761944444446,4.525038055555555,55.0,65.0,0.9,7.6,0.9,2.2,96.9,WoSIS
Rhine-Meuse,52.242761944444446,4.525038055555555,65.0,68.0,140.7,7.2,20.2,30.1,49.7,WoSIS
Rhine-Meuse,52.242761944444446,4.525038055555555,68.0,90.0,1.2,7.8,23.2,32.8,44.0,WoSIS
Rhine-Meuse,52.242761944444446,4.525038055555555,90.0,110.0,115.7,7.3,22.7,32.6,44.7,WoSIS
Rhine-Meuse,52.56465111111111,4.918731944444445,0.0,30.0,42.8,7.0,34.7,44.9,20.4,WoSIS
Rhine-Meuse,52.56465111111111,4.918731944444445,30.0,65.0,12.8,7.8,40.9,50.4,8.7,WoSIS
Rhine-Meuse,52.56465111111111,4.918731944444445,65.0,120.0,7.9,7.9,34.0,46.3,19.7,WoSIS
Limpopo,-24.988889,33.550278,0.0,22.0,4.6,6.1,6.5,1.5,92.0,WoSIS
Limpopo,-24.988889,33.550278,22.0,50.0,2.9,5.2,7.0,1.8,91.2,WoSIS
Limpopo,-24.988889,33.550278,50.0,102.0,1.2,5.5,7.2,0.6,92.2,WoSIS
Limpopo,-24.980556,33.579167,0.0,10.0,38.3,5.6,60.0,22.0,18.0,WoSIS
Limpopo,-24.980556,33.579167,10.0,45.0,15.1,6.6,79.0,18.0,3.0,WoSIS
Limpopo,-24.980556,33.579167,45.0,75.0,10.4,7.7,85.0,14.0,1.0,WoSIS
Limpopo,-24.980556,33.579167,75.0,150.0,5.8,7.5,87.0,12.0,1.0,WoSIS
Danube,45.58,29.329722222222223,0.0,27.0,16.8,7.0,32.0,62.0,6.0,WoSIS
Danube,45.58,29.329722222222223,27.0,40.0,13.3,7.2,33.0,60.0,7.0,WoSIS
Danube,45.58,29.329722222222223,40.0,57.0,7.5,7.4,31.0,58.0,11.0,WoSIS
Danube,45.58,29.329722222222223,57.0,110.0,3.0,7.5,33.0,63.0,4.0,WoSIS
Chao Phraya,13.75,100.46861111111112,0.0,34.0,6.3,6.3,67.0,30.0,3.0,WoSIS
Chao Phraya,13.75,100.46861111111112,34.0,64.0,7.0,5.0,65.0,33.0,2.0,WoSIS
Chao Phraya,13.75,100.46861111111112,64.0,80.0,6.7,5.2,70.0,28.0,2.0,WoSIS
Chao Phraya,13.75,100.46861111111112,80.0,170.0,3.4,6.7,72.0,26.0,2.0,WoSIS
Chao Phraya,13.507222222222222,100.83333333333331,0.0,10.0,34.1,5.0,63.0,35.0,2.0,WoSIS
Chao Phraya,13.507222222222222,100.83333333333331,10.0,30.0,38.5,5.4,67.0,31.0,2.0,WoSIS
Chao Phraya,13.507222222222222,100.83333333333331,30.0,50.0,31.3,5.2,46.0,52.0,2.0,WoSIS
Chao Phraya,13.507222222222222,100.83333333333331,50.0,150.0,31.0,6.5,59.0,39.0,2.0,WoSIS
Limpopo,-24.85361,33.59583,0.0,15.0,16.0,7.0,38.0,20.0,42.0,WoSIS
Limpopo,-24.85361,33.59583,15.0,45.0,12.0,7.4,38.0,20.0,42.0,WoSIS
Limpopo,-24.85361,33.59583,45.0,90.0,12.0,7.6,38.0,21.0,41.0,WoSIS
Limpopo,-24.85361,33.59583,90.0,125.0,7.0,7.7,41.0,22.0,37.0,WoSIS
Danube,45.58,29.329722222222223,0.0,27.0,17.0,7.0,32.0,62.0,6.0,WoSIS
Danube,45.58,29.329722222222223,27.0,40.0,13.0,7.2,33.0,60.0,7.0,WoSIS
Danube,45.58,29.329722222222223,40.0,57.0,8.0,7.4,31.0,58.0,11.0,WoSIS
Sacramento,38.2191657999999,-121.9538879,0.0,10.0,22.5,5.8,14.9,53.3,31.8,WoSIS
Sacramento,38.2191657999999,-121.9538879,10.0,23.0,9.0,6.05,15.9,52.7,31.4,WoSIS
Sacramento,38.2191657999999,-121.9538879,23.0,53.0,3.9,7.2,30.7,43.3,26.0,WoSIS
Sacramento,38.2191657999999,-121.9538879,53.0,81.0,1.4,8.6,31.0,32.6,36.4,WoSIS
Sacramento,38.2191657999999,-121.9538879,81.0,122.0,0.7,9.25,32.2,44.1,23.7,WoSIS
