delta,lat,lon,depth_top_cm,depth_bot_cm,soc,ph,clay,silt,sand,source
Mississippi,31.3504809999999,-89.1878356999999,25.0,33.0,2.7,4.9,13.8,52.6,33.6,WoSIS
Mississippi,31.3504809999999,-89.1878356999999,33.0,66.0,1.4,4.8,19.4,48.9,31.7,WoSIS
Mississippi,31.3504809999999,-89.1878356999999,66.0,91.0,0.9,4.8,19.8,46.1,34.1,WoSIS
Mississippi,31.3504809999999,-89.1878356999999,91.0,107.0,0.4,4.8,26.1,39.9,34.0,WoSIS
Mississippi,32.9991684,-91.7236099,0.0,10.0,17.2,5.9,14.2,80.0,5.8,WoSIS
Mississippi,32.9991684,-91.7236099,10.0,20.0,5.2,5.4,16.0,80.3,3.7,WoSIS
Mississippi,32.9991684,-91.7236099,20.0,40.0,2.6,5.0,19.7,76.7,3.6,WoSIS
Mississippi,32.9991684,-91.7236099,40.0,56.0,1.7,4.7,17.6,79.5,2.9,WoSIS
Mississippi,32.9991684,-91.7236099,56.0,67.0,1.5,4.7,29.9,67.6,2.5,WoSIS
Mississippi,32.9991684,-91.7236099,67.0,81.0,1.2,4.6,36.7,60.4,2.9,WoSIS
Mississippi,32.9991684,-91.7236099,81.0,107.0,0.8,4.7,29.8,66.8,3.4,WoSIS
Mississippi,30.5221671999999,-92.2841643999999,0.0,14.0,10.7,5.0,14.1,65.6,20.3,WoSIS
Mississippi,30.5221671999999,-92.2841643999999,14.0,29.0,6.2,5.1,18.9,65.4,15.7,WoSIS
Mississippi,30.5221671999999,-92.2841643999999,29.0,48.0,4.3,4.4,28.1,60.0,11.9,WoSIS
Mississippi,30.5221671999999,-92.2841643999999,48.0,69.0,4.1,4.3,30.7,58.7,10.6,WoSIS
Mississippi,30.5221671999999,-92.2841643999999,69.0,91.0,2.9,4.4,35.8,54.9,9.3,WoSIS
Mississippi,30.5221671999999,-92.2841643999999,91.0,98.0,2.5,4.7,22.1,62.6,15.3,WoSIS
Mississippi,30.5221671999999,-92.2841643999999,98.0,129.0,1.5,5.1,41.1,50.2,8.7,WoSIS
Mississippi,31.9708328,-92.0961075,15.0,56.0,1.8,5.2,24.7,59.8,15.5,WoSIS
Mississippi,31.1680564999999,-92.538887,0.0,11.0,12.6,4.9,1.9,27.3,70.8,WoSIS
Mississippi,31.1680564999999,-92.538887,11.0,18.0,2.2,5.2,4.2,29.7,66.1,WoSIS
Mississippi,31.1680564999999,-92.538887,18.0,45.0,3.0,5.1,29.6,27.1,43.3,WoSIS
Mississippi,31.1680564999999,-92.538887,45.0,65.0,0.6,5.2,11.1,25.4,63.5,WoSIS
Mississippi,31.1680564999999,-92.538887,65.0,100.0,0.5,5.3,7.7,21.0,71.3,WoSIS
Mississippi,32.0905570999999,-91.2163924999999,0.0,17.0,10.9,6.4,60.9,37.8,1.3,WoSIS
Mississippi,32.0905570999999,-91.2163924999999,17.0,31.0,7.1,6.7,60.5,38.3,1.2,WoSIS
Mississippi,32.0905570999999,-91.2163924999999,31.0,48.0,4.9,7.7,41.9,57.5,0.6,WoSIS
Mississippi,32.0905570999999,-91.2163924999999,48.0,63.0,4.4,7.9,39.9,58.0,2.1,WoSIS
Mississippi,32.0905570999999,-91.2163924999999,63.0,84.0,2.9,8.2,12.2,45.6,42.2,WoSIS
Mississippi,32.0905570999999,-91.2163924999999,84.0,95.0,1.9,8.5,8.1,68.7,23.2,WoSIS
Mississippi,32.0905570999999,-91.2163924999999,95.0,127.0,1.0,8.6,5.4,54.0,40.6,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,0.0,12.0,17.9,6.0,9.8,82.1,8.1,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,12.0,30.0,2.1,7.1,11.4,81.4,7.2,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,30.0,47.0,1.5,5.6,24.2,70.6,5.2,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.2,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.4,5.1,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,29.8,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,65.9,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,71.8,4.3,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,65.9,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.2,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,47.0,81.0,1.6,5.1,23.5,71.8,4.7,WoSIS
Mississippi,30.6596660614013,-90.9698333740234,81.0,101.0,0.7,5.3,25.1,69.9,5.0,WoSIS
Mississippi,31.9527779,-91.2344437,0.0,15.0,9.3,6.6,9.7,64.1,26.2,WoSIS
Mississippi,31.9527779,-91.2344437,15.0,25.0,6.0,6.1,12.0,63.5,24.5,WoSIS
Mississippi,31.9527779,-91.2344437,25.0,48.0,5.9,6.8,31.9,55.7,12.4,WoSIS
Mississippi,31.9527779,-91.2344437,48.0,64.0,4.4,7.2,25.1,58.4,16.5,WoSIS
Mississippi,31.9527779,-91.2344437,64.0,81.0,3.3,7.6,20.9,56.7,22.4,WoSIS
Mississippi,31.9527779,-91.2344437,81.0,91.0,4.1,7.7,25.7,58.4,15.9,WoSIS
Mississippi,31.9527779,-91.2344437,91.0,112.0,2.0,7.9,13.4,62.2,24.4,WoSIS
Mississippi,31.9527779,-91.2344437,91.0,135.0,4.1,7.7,25.2,56.6,18.2,WoSIS
Mississippi,32.3161125,-91.8697205,0.0,15.0,6.5,6.8,6.6,61.0,32.4,WoSIS
Mississippi,32.3161125,-91.8697205,15.0,25.0,2.9,5.5,18.4,59.3,22.3,WoSIS
Mississippi,32.3161125,-91.8697205,25.0,43.0,2.2,5.5,34.1,49.5,16.4,WoSIS
Mississippi,32.3161125,-91.8697205,43.0,64.0,2.0,5.2,32.7,45.9,21.4,WoSIS
Mississippi,32.3161125,-91.8697205,64.0,81.0,1.2,5.1,27.9,38.4,33.7,WoSIS
Mississippi,32.3161125,-91.8697205,81.0,112.0,0.8,5.1,20.4,28.8,50.8,WoSIS
Mississippi,30.686945,-91.2216643999999,3.0,15.0,7.8,5.8,8.3,89.0,2.7,WoSIS
Mississippi,30.686945,-91.2216643999999,15.0,23.0,2.4,5.6,19.3,78.5,2.2,WoSIS
Mississippi,30.686945,-91.2216643999999,23.0,38.0,2.2,5.2,25.7,72.3,2.0,WoSIS
Mississippi,30.686945,-91.2216643999999,38.0,56.0,1.5,5.0,26.9,70.6,2.5,WoSIS
Mississippi,30.686945,-91.2216643999999,56.0,76.0,1.1,4.9,25.5,72.1,2.4,WoSIS
Mississippi,30.686945,-91.2216643999999,76.0,94.0,0.7,5.0,21.5,75.8,2.7,WoSIS
Mississippi,30.686945,-91.2216643999999,94.0,132.0,0.3,5.2,19.7,77.6,2.7,WoSIS
Mississippi,30.2938881,-92.4563904,0.0,10.0,10.4,5.0,10.0,68.1,21.9,WoSIS
Mississippi,30.2938881,-92.4563904,10.0,20.0,6.0,5.9,14.7,62.5,22.8,WoSIS
Mississippi,30.2938881,-92.4563904,20.0,41.0,4.2,5.3,18.1,59.3,22.6,WoSIS
Mississippi,30.2938881,-92.4563904,41.0,74.0,5.6,5.4,36.6,48.6,14.8,WoSIS
Mississippi,30.2938881,-92.4563904,74.0,122.0,1.1,7.4,29.8,55.2,15.0,WoSIS
Mississippi,30.8030548,-93.2016677999999,0.0,14.0,11.6,5.4,2.8,28.5,68.7,WoSIS
Mississippi,30.8030548,-93.2016677999999,14.0,23.0,3.7,5.6,4.3,28.8,66.9,WoSIS
Mississippi,30.8030548,-93.2016677999999,23.0,46.0,3.1,5.2,24.8,26.9,48.3,WoSIS
Mississippi,30.8030548,-93.2016677999999,46.0,61.0,1.6,5.2,24.4,28.1,47.5,WoSIS
Mississippi,30.8030548,-93.2016677999999,61.0,91.0,0.7,5.2,24.3,26.7,49.0,WoSIS
Mississippi,30.8030548,-93.2016677999999,91.0,124.0,0.2,5.1,28.3,22.3,49.4,WoSIS
Mississippi,31.0335445,-89.542572,0.0,13.0,17.2,4.4,7.9,49.3,42.8,WoSIS
Mississippi,31.0335445,-89.542572,13.0,23.0,5.2,4.5,7.6,45.6,46.8,WoSIS
Mississippi,31.0335445,-89.542572,23.0,41.0,2.3,4.5,8.3,41.0,50.7,WoSIS
Mississippi,31.0335445,-89.542572,41.0,74.0,1.2,4.6,12.7,38.8,48.5,WoSIS
Mississippi,31.0335445,-89.542572,74.0,107.0,0.6,4.6,22.3,38.9,38.8,WoSIS
Mississippi,32.9857178,-88.5939331,0.0,10.0,16.8,5.0,36.1,52.3,11.6,WoSIS
Mississippi,32.9857178,-88.5939331,10.0,28.0,4.8,4.7,45.9,47.3,6.8,WoSIS
Mississippi,32.9857178,-88.5939331,28.0,41.0,3.0,4.8,48.6,44.2,7.2,WoSIS
Mississippi,32.9857178,-88.5939331,41.0,91.0,1.7,4.6,53.7,41.1,5.2,WoSIS
Mississippi,32.9857178,-88.5939331,91.0,142.0,0.9,4.4,55.4,39.1,5.5,WoSIS
Mississippi,32.9700011999999,-91.9547194999999,0.0,10.0,14.5,5.6,6.2,65.9,27.9,WoSIS
Mississippi,32.9700011999999,-91.9547194999999,10.0,18.0,2.6,5.3,15.5,63.3,21.2,WoSIS
Mississippi,32.9700011999999,-91.9547194999999,18.0,30.0,2.7,5.2,23.5,58.9,17.6,WoSIS
Mississippi,32.9700011999999,-91.9547194999999,30.0,51.0,1.9,5.3,24.3,57.2,18.5,WoSIS
Mississippi,32.9700011999999,-91.9547194999999,51.0,69.0,0.8,5.2,18.0,56.5,25.5,WoSIS
Mississippi,32.9700011999999,-91.9547194999999,69.0,101.0,0.1,5.1,15.9,56.8,27.3,WoSIS
Mississippi,32.9041672,-91.8874969,0.0,5.0,30.8,5.7,9.0,58.7,32.3,WoSIS
Mississippi,32.9041672,-91.8874969,5.0,20.0,3.9,5.15,13.5,67.3,19.2,WoSIS
Mississippi,32.9041672,-91.8874969,20.0,45.0,1.4,5.2,24.7,62.0,13.3,WoSIS
Mississippi,32.9041672,-91.8874969,45.0,68.0,1.5,5.05,26.65,56.65,16.7,WoSIS
Mississippi,32.9041672,-91.8874969,68.0,94.0,0.8,5.1,18.4,52.5,29.1,WoSIS
Mississippi,32.9041672,-91.8874969,94.0,134.0,0.6333333,5.0,14.9,40.6,44.5,WoSIS
Mississippi,32.9897232,-91.7552795,0.0,14.0,20.0,5.3,11.9,71.2,16.9,WoSIS
Mississippi,32.9897232,-91.7552795,14.0,20.0,3.9,4.9,16.4,68.5,15.1,WoSIS
Mississippi,32.9897232,-91.7552795,20.0,37.0,2.6,4.8,18.9,66.5,14.6,WoSIS
Mississippi,32.9897232,-91.7552795,37.0,49.0,1.6,4.8,20.5,66.0,13.5,WoSIS
Mississippi,32.9897232,-91.7552795,49.0,74.0,1.5,5.2,21.2,65.9,12.9,WoSIS
