delta,lat,lon,depth_top_cm,depth_bot_cm,soc,ph,clay,silt,sand,source
Mississippi,32.1690711999999,-88.8444977,0.0,10.0,21.5,5.5,6.6,41.1,52.3,WoSIS
Mississippi,32.1690711999999,-88.8444977,10.0,23.0,4.4,4.9,10.9,39.9,49.2,WoSIS
Mississippi,32.1690711999999,-88.8444977,23.0,43.0,2.0,4.8,14.4,37.7,47.9,WoSIS
Mississippi,32.1690711999999,-88.8444977,43.0,61.0,0.5,4.7,13.1,35.0,51.9,WoSIS
Mississippi,32.1690711999999,-88.8444977,61.0,86.0,0.2,4.6,8.3,27.2,64.5,WoSIS
Mississippi,32.1690711999999,-88.8444977,86.0,127.0,0.2,4.5,15.5,15.6,68.9,WoSIS
Mississippi,32.3446197999999,-90.6703796,0.0,18.0,6.9,5.7,12.0,84.6,3.4,WoSIS
Mississippi,32.3446197999999,-90.6703796,18.0,43.0,1.6,6.0,28.7,70.4,0.9,WoSIS
Mississippi,32.3446197999999,-90.6703796,43.0,63.0,0.9,4.9,25.4,73.7,0.9,WoSIS
Mississippi,32.3446197999999,-90.6703796,63.0,94.0,2.1,4.9,20.9,78.4,0.7,WoSIS
Mississippi,32.3446197999999,-90.6703796,94.0,124.0,0.6,5.0,18.7,80.8,0.5,WoSIS
Mississippi,32.2896233,-90.7909393,0.0,18.0,13.1,5.9,10.4,87.9,1.7,WoSIS
Mississippi,32.2896233,-90.7909393,18.0,25.0,3.4,5.2,18.8,79.9,1.3,WoSIS
Mississippi,32.2896233,-90.7909393,25.0,46.0,2.2,5.1,20.2,79.2,0.6,WoSIS
Mississippi,32.2896233,-90.7909393,46.0,81.0,1.7,5.1,24.5,74.9,0.6,WoSIS
Mississippi,32.2896233,-90.7909393,81.0,107.0,1.0,5.3,23.8,75.2,1.0,WoSIS
Mississippi,31.5840855,-90.2825928,1.0,9.0,39.2,5.3,9.2,73.0,17.8,WoSIS
Mississippi,31.5840855,-90.2825928,9.0,19.0,8.4,5.0,11.1,74.2,14.7,WoSIS
Mississippi,31.5840855,-90.2825928,19.0,24.0,4.0,5.1,14.5,74.3,11.2,WoSIS
Mississippi,31.5840855,-90.2825928,24.0,37.0,2.3,5.1,20.9,70.2,8.9,WoSIS
Mississippi,31.5840855,-90.2825928,37.0,59.0,1.4,5.2,29.6,62.8,7.6,WoSIS
Mississippi,31.5840855,-90.2825928,59.0,77.0,1.0,5.3,24.7,65.3,10.0,WoSIS
Mississippi,31.5840855,-90.2825928,77.0,98.0,0.6,5.5,15.5,56.1,28.4,WoSIS
Mississippi,31.5840855,-90.2825928,98.0,136.0,0.2,5.4,14.6,34.5,50.9,WoSIS
Mississippi,31.3504809999999,-89.1878356999999,0.0,8.0,30.9,5.0,7.4,57.3,35.3,WoSIS
Mississippi,31.3504809999999,-89.1878356999999,8.0,15.0,11.8,5.3,7.9,58.1,34.0,WoSIS
Mississippi,31.3504809999999,-89.1878356999999,15.0,25.0,4.8,5.3,10.9,56.2,32.9,WoSIS
