Sample,Bulk Density,Moisture,Sand,Silt,Clay,pH,EC,OM,TN,CEC,Location,Depth,SOCC,SOCD ,SOC Stock ,Lat,Long,Latitude,Longitude
G-1,1.772,21.27,2.57,69.59,27.83,7.53,0.161,1.348,0.111,7.4,Godkhali,20,0.784,0.0139,27.785,23.0535,89.05955556,23.2925,89.466
G-2,1.695,25.73,12.57,46.45,40.98,7.69,0.109,0.691,0.083,4.864,Godkhali,40,0.402,0.0068,13.628,23.0535,89.05955556,23.2925,89.466
G-3,1.579,28.69,4.29,72.51,23.2,8.27,0.122,0.196,0.028,1.996,Godkhali,60,0.114,0.0018,3.6,23.0535,89.05955556,23.2925,89.466
G-4,1.732,21.65,7.43,69.43,23.14,8.46,0.104,0.23,0.044,2.957,Godkhali,80,0.134,0.0023,4.642,23.0535,89.05955556,23.2925,89.466
G-5,1.661,28.09,1.91,81.72,16.37,8.52,0.119,0.196,0.092,2.629,Godkhali,100,0.114,0.0019,3.787,23.0535,89.05955556,23.2925,89.466
P-1,1.751,25.7,4.38,55.93,39.15,8.28,0.139,0.597,0.078,5.382,Panisara,20,0.347,0.0061,12.152,23.05530556,89.06166667,23.05530556,89.06166667
P-2,1.324,55.69,13.04,64.52,22.44,8.3,0.056,0.2,0.194,10.444,Panisara,40,0.116,0.0015,3.072,23.05530556,89.06166667,23.05530556,89.06166667
P-3,1.577,30.09,11.58,65.6,22.82,8.15,0.049,0.2,0.086,3.086,Panisara,60,0.116,0.0018,3.659,23.05530556,89.06166667,23.05530556,89.06166667
P-4,1.574,25.77,15.65,52.89,31.46,8.1,0.032,0.1,0.047,1.618,Panisara,80,0.058,0.0009,1.826,23.05530556,89.06166667,23.05530556,89.06166667
P-5,1.447,26.42,27.11,56.07,16.82,8.04,0.041,0.067,0.025,0.743,Panisara,100,0.039,0.0006,1.129,23.05530556,89.06166667,23.05530556,89.06166667
J-1,1.696,21.97,0.16,64.25,35.59,8.08,0.184,1.129,0.116,8.352,Jhikargacha,20,0.657,0.0111,22.285,23.08422222,89.11513889,23.33,89.0266
J-2,1.744,24.48,1.67,64.07,34.26,8.27,0.206,0.365,0.105,5.072,Jhikargacha,40,0.212,0.0037,7.395,23.08422222,89.11513889,23.33,89.0266
J-3,1.589,25.27,3.57,78.72,17.71,8.6,0.093,0.131,0.042,1.634,Jhikargacha,60,0.076,0.0012,2.415,23.08422222,89.11513889,23.33,89.0266
J-4,1.492,21.84,8.92,73.85,17.23,8.72,0.09,0.131,0.056,2.044,Jhikargacha,80,0.076,0.0011,2.268,23.08422222,89.11513889,23.33,89.0266
J-5,1.485,24.11,11.21,71.48,17.31,8.66,0.097,0.131,0.028,0.8,Jhikargacha,100,0.076,0.0011,2.257,23.08422222,89.11513889,23.33,89.0266
M-1,1.46,33.26,8.05,58.76,33.19,7.49,0.182,1.873,0.2,9.42,Mohinikathi,20,1.089,0.0159,31.799,23.05441667,89.10147222,22.9536,89.5685
M-2,1.764,25.22,2.49,55.25,42.26,7.95,0.161,0.624,0.075,3.923,Mohinikathi,40,0.363,0.0064,12.807,23.05441667,89.10147222,22.9536,89.5685
M-3,1.581,33.44,2.53,62.52,34.95,8.39,0.126,0.329,0.054,2.684,Mohinikathi,60,0.191,0.003,6.039,23.05441667,89.10147222,22.9536,89.5685
M-4,1.54,34.38,2.94,69.95,27.11,8.44,0.12,0.165,0.047,2.256,Mohinikathi,80,0.096,0.0015,2.957,23.05441667,89.10147222,22.9536,89.5685
M-5,1.662,24.62,0.27,66.87,32.86,8.48,0.111,0.23,0.039,1.248,Mohinikathi,100,0.134,0.0022,4.454,23.05441667,89.10147222,22.9536,89.5685
S-1,1.653,24.17,6.57,67.34,26.09,8.55,0.135,1.084,0.169,8.112,Sirajsinga,20,0.631,0.0104,20.861,23.08416667,89.21261111,23.129,89.2788
S-2,1.81,23.35,3.47,64.7,31.83,8.6,0.143,0.394,0.064,3.88,Sirajsinga,40,0.229,0.0041,8.29,23.08416667,89.21261111,23.129,89.2788
S-3,1.57,28.43,11.12,66.04,22.84,8.77,0.106,0.198,0.049,1.937,Sirajsinga,60,0.115,0.0018,3.611,23.08416667,89.21261111,23.129,89.2788
S-4,1.664,26.53,5.35,66.23,28.42,8.76,0.119,0.263,0.416,11.814,Sirajsinga,80,0.153,0.0025,5.092,23.08416667,89.21261111,23.129,89.2788
S-5,1.673,27.29,20.01,65.01,14.98,8.93,0.102,0.131,0.031,0.951,Sirajsinga,100,0.076,0.0013,2.543,23.08416667,89.21261111,23.129,89.2788
